┌─────────┬──────────────┬─────────────────────────────────────────────────────────────────────┬───────────┐
│ (index) │  createdAt   │                           directVideoUrl                            │ playCount │
├─────────┼──────────────┼─────────────────────────────────────────────────────────────────────┼───────────┤
│    0    │ '10/22/2023' │ 'https://www.tiktok.com/@yum_yum_kitchen/video/7292831382261337374' │   17500   │
│    1    │ '10/22/2023' │ 'https://www.tiktok.com/@yum_yum_kitchen/video/7292800897619479838' │   3197    │
│    2    │ '10/22/2023' │ 'https://www.tiktok.com/@yum_yum_kitchen/video/7292800265558789407' │  568600   │
│    3    │ '10/22/2023' │ 'https://www.tiktok.com/@yum_yum_kitchen/video/7292772926271540510' │   1194    │
│    4    │ '10/22/2023' │ 'https://www.tiktok.com/@yum_yum_kitchen/video/7292772368076819743' │  285400   │
│    5    │ '10/22/2023' │ 'https://www.tiktok.com/@yum_yum_kitchen/video/7292771960671522079' │   1151    │
│    6    │ '10/21/2023' │ 'https://www.tiktok.com/@yum_yum_kitchen/video/7292444186203163934' │   40300   │
│    7    │ '10/21/2023' │ 'https://www.tiktok.com/@yum_yum_kitchen/video/7292443811886796062' │   1480    │
│    8    │ '10/21/2023' │ 'https://www.tiktok.com/@yum_yum_kitchen/video/7292443075593522462' │   2766    │
│    9    │ '10/21/2023' │ 'https://www.tiktok.com/@yum_yum_kitchen/video/7292401385767701790' │   2920    │
│   10    │ '10/21/2023' │ 'https://www.tiktok.com/@yum_yum_kitchen/video/7292400881553739038' │    859    │
│   11    │ '10/20/2023' │ 'https://www.tiktok.com/@yum_yum_kitchen/video/7292104449680493855' │   3270    │
│   12    │ '10/20/2023' │ 'https://www.tiktok.com/@yum_yum_kitchen/video/7292104061258616095' │   1139    │
│   13    │ '10/20/2023' │ 'https://www.tiktok.com/@yum_yum_kitchen/video/7292103342128385311' │  115900   │
│   14    │ '10/20/2023' │ 'https://www.tiktok.com/@yum_yum_kitchen/video/7292077677182323998' │    984    │
│   15    │ '10/20/2023' │ 'https://www.tiktok.com/@yum_yum_kitchen/video/7292076797275950367' │    830    │
│   16    │ '10/20/2023' │ 'https://www.tiktok.com/@yum_yum_kitchen/video/7292063244519312670' │  356600   │
│   17    │ '10/20/2023' │ 'https://www.tiktok.com/@yum_yum_kitchen/video/7292062571862052126' │   19800   │
│   18    │ '10/19/2023' │ 'https://www.tiktok.com/@yum_yum_kitchen/video/7291707462774705438' │   8071    │
│   19    │ '10/19/2023' │ 'https://www.tiktok.com/@yum_yum_kitchen/video/7291706649276878110' │    834    │
│   20    │ '10/19/2023' │ 'https://www.tiktok.com/@yum_yum_kitchen/video/7291706247961660703' │    925    │
│   21    │ '10/19/2023' │ 'https://www.tiktok.com/@yum_yum_kitchen/video/7291681515925146910' │  335400   │
│   22    │ '10/19/2023' │ 'https://www.tiktok.com/@yum_yum_kitchen/video/7291680455500270879' │   6703    │
│   23    │ '10/19/2023' │ 'https://www.tiktok.com/@yum_yum_kitchen/video/7291674031806287135' │    978    │
│   24    │ '10/19/2023' │ 'https://www.tiktok.com/@yum_yum_kitchen/video/7291673687823011102' │   77600   │
│   25    │ '10/18/2023' │ 'https://www.tiktok.com/@yum_yum_kitchen/video/7291326144123571486' │   2018    │
│   26    │ '10/18/2023' │ 'https://www.tiktok.com/@yum_yum_kitchen/video/7291318061309627679' │   2918    │
│   27    │ '10/18/2023' │ 'https://www.tiktok.com/@yum_yum_kitchen/video/7291317210348358943' │   7845    │
│   28    │ '10/18/2023' │ 'https://www.tiktok.com/@yum_yum_kitchen/video/7291290734555188511' │   2789    │
│   29    │ '10/18/2023' │ 'https://www.tiktok.com/@yum_yum_kitchen/video/7291289933459852575' │  432300   │
│   30    │ '10/17/2023' │ 'https://www.tiktok.com/@yum_yum_kitchen/video/7291011459243445535' │   1952    │
│   31    │ '10/17/2023' │ 'https://www.tiktok.com/@yum_yum_kitchen/video/7290981740204592415' │    969    │
│   32    │ '10/17/2023' │ 'https://www.tiktok.com/@yum_yum_kitchen/video/7290961686645706014' │   4077    │
│   33    │ '10/17/2023' │ 'https://www.tiktok.com/@yum_yum_kitchen/video/7290957094688247070' │   15800   │
│   34    │ '10/17/2023' │ 'https://www.tiktok.com/@yum_yum_kitchen/video/7290928182654504223' │   1453    │
│   35    │ '10/17/2023' │ 'https://www.tiktok.com/@yum_yum_kitchen/video/7290927811550858527' │   3507    │
│   36    │ '10/17/2023' │ 'https://www.tiktok.com/@yum_yum_kitchen/video/7290927323195428126' │  102800   │
│   37    │ '10/16/2023' │ 'https://www.tiktok.com/@yum_yum_kitchen/video/7290645876207389983' │   2586    │
│   38    │ '10/16/2023' │ 'https://www.tiktok.com/@yum_yum_kitchen/video/7290583566197460254' │  372700   │
│   39    │ '10/16/2023' │ 'https://www.tiktok.com/@yum_yum_kitchen/video/7290570032873082142' │   1867    │
│   40    │ '10/16/2023' │ 'https://www.tiktok.com/@yum_yum_kitchen/video/7290569564277034271' │   2422    │
│   41    │ '10/16/2023' │ 'https://www.tiktok.com/@yum_yum_kitchen/video/7290568515713617183' │   5776    │
│   42    │ '10/15/2023' │ 'https://www.tiktok.com/@yum_yum_kitchen/video/7290252324855926046' │   1922    │
│   43    │ '10/15/2023' │ 'https://www.tiktok.com/@yum_yum_kitchen/video/7290251713028590878' │    965    │
│   44    │ '10/15/2023' │ 'https://www.tiktok.com/@yum_yum_kitchen/video/7290248335628176671' │    725    │
│   45    │ '10/15/2023' │ 'https://www.tiktok.com/@yum_yum_kitchen/video/7290190714510560542' │  159600   │
│   46    │ '10/15/2023' │ 'https://www.tiktok.com/@yum_yum_kitchen/video/7290190247013469470' │   4574    │
│   47    │ '10/15/2023' │ 'https://www.tiktok.com/@yum_yum_kitchen/video/7290189889977453854' │   3677    │
│   48    │ '10/15/2023' │ 'https://www.tiktok.com/@yum_yum_kitchen/video/7290132867412135199' │   1337    │
│   49    │ '10/15/2023' │ 'https://www.tiktok.com/@yum_yum_kitchen/video/7290130074945293598' │    587    │
│   50    │ '10/15/2023' │ 'https://www.tiktok.com/@yum_yum_kitchen/video/7290127581792259358' │    589    │
│   51    │ '10/15/2023' │ 'https://www.tiktok.com/@yum_yum_kitchen/video/7290126956375411999' │    545    │
│   52    │ '10/14/2023' │ 'https://www.tiktok.com/@yum_yum_kitchen/video/7289850133003439390' │    872    │
│   53    │ '10/14/2023' │ 'https://www.tiktok.com/@yum_yum_kitchen/video/7289849690265242911' │    553    │
│   54    │ '10/14/2023' │ 'https://www.tiktok.com/@yum_yum_kitchen/video/7289820426992143646' │   13400   │
│   55    │ '10/14/2023' │ 'https://www.tiktok.com/@yum_yum_kitchen/video/7289819700924599582' │  209500   │
│   56    │ '10/13/2023' │ 'https://www.tiktok.com/@yum_yum_kitchen/video/7289500025858559262' │   5604    │
│   57    │ '10/13/2023' │ 'https://www.tiktok.com/@yum_yum_kitchen/video/7289498745417338143' │  133500   │
│   58    │ '10/13/2023' │ 'https://www.tiktok.com/@yum_yum_kitchen/video/7289434074005916959' │    831    │
│   59    │ '10/13/2023' │ 'https://www.tiktok.com/@yum_yum_kitchen/video/7289433378502331679' │   1156    │
│   60    │ '10/13/2023' │ 'https://www.tiktok.com/@yum_yum_kitchen/video/7289432921289641247' │    996    │
│   61    │ '10/12/2023' │ 'https://www.tiktok.com/@yum_yum_kitchen/video/7289128871801195806' │   49600   │
│   62    │ '10/12/2023' │ 'https://www.tiktok.com/@yum_yum_kitchen/video/7289128450756054303' │   1194    │
│   63    │ '10/12/2023' │ 'https://www.tiktok.com/@yum_yum_kitchen/video/7289121255247154463' │  460700   │
│   64    │ '10/12/2023' │ 'https://www.tiktok.com/@yum_yum_kitchen/video/7289120962501496094' │   10200   │
│   65    │ '10/12/2023' │ 'https://www.tiktok.com/@yum_yum_kitchen/video/7289119928345529630' │   2549    │
└─────────┴──────────────┴─────────────────────────────────────────────────────────────────────┴───────────┘
3883356
